dataset,condition,benchmark_prompt_index,precompression_prompt_hash,precompression_input_tokens,original_input_tokens,compressed_input_tokens,t_compress_ms,t_prefill_ms,t_generation_ms,t_e2e_ms,peak_allocated_gib,peak_reserved_gib,cap_hit,finish_reason
gsm8k,baseline_ar,34,c945220084e71776c92d6b786e513b5bf0c59f66cca534e2264a7c71961c26b3,91,91,,0.0,95.48790899998494,3604.5298789999833,3700.0177879999683,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,35,179e914ef81b781e788859a8e27f08082c1b23ab9c2904ccdc085b3c2067dd7e,124,124,,0.0,96.10661600004278,11128.842200999998,11224.94881700004,2.49196195602417,2.890625,False,eos_or_stop
gsm8k,baseline_ar,36,f47de8e9b408b53d4787f4a55698f0dc44c42d94ebdb83ab6ccd6cb69e566c53,99,99,,0.0,95.85049699990122,5145.974451000029,5241.82494799993,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,37,e8f63cd344b5a3231d5272e131f2959464d25e84430985b17245246501e40139,94,94,,0.0,95.02925400011009,5379.278334999981,5474.307589000091,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,38,83d36fdb453e9167d1bbd73a3819b651508f76c40a84f313a750613b18a796d7,68,68,,0.0,91.86955700010913,2997.365443000035,3089.2350000001443,2.491960048675537,2.890625,False,eos_or_stop
gsm8k,baseline_ar,39,996284780c5978046c59e9820c4da9a392af531d8f5b880a5f2cff5beb27b3ab,119,119,,0.0,97.09221699995396,5961.474116999852,6058.566333999806,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,40,79584fd86ff44b17c502bd88b1a81084daa2c7bdde9d55f76a52344d1335e726,124,124,,0.0,96.31213500006197,11752.658543000052,11848.970678000114,2.49196195602417,2.890625,False,eos_or_stop
gsm8k,baseline_ar,41,66b8869c9d3f4106c7678612a5d760c1b56156096965fcf9134fe0faf747eb79,100,100,,0.0,94.3317459998525,6769.496672000059,6863.828417999912,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,42,3639e334d4cd565ecf22858390393e63a7e465f45ca523ebbcc901fc9f257449,96,96,,0.0,95.35393700002714,6860.523795000063,6955.87773200009,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,43,f3edb84c0529805f932ffaf616c4f3d76ff56349c7ecacbc07b831f9919f98d5,124,124,,0.0,97.957426999983,6968.226887000128,7066.184314000111,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,44,940b71079b4bf0d8920b443b9d6480a1a70ddf35343d14216d389a2e0128d89f,98,98,,0.0,95.79855899983158,8007.812457,8103.611015999832,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,45,0ba3dbc2824d57e81b125f82b7d719163fa35cedf0d82f431de68dfe32aac382,76,76,,0.0,93.91972399998849,4961.708804999944,5055.628528999932,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,46,da79204cf839dee14279712f8028c54863a64c25e93af28896014fea54fd1d97,89,89,,0.0,93.58862799990675,4619.914287000029,4713.5029149999355,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,47,882dc9ba463146dcba7b2fe9b3648b182beee5d1bf6d259049bd106105f78f23,104,104,,0.0,93.91456000003018,10284.630031999995,10378.544592000026,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,48,9fbf8587bc0aba1a993a13fbc413e5813714c8489ce0b3ed7cee6c6fbf5e310a,91,91,,0.0,96.17033999984415,4977.315688999852,5073.486028999696,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,49,56a520db097371b1b84a4222951f0157059707c9e4bf1cabb699cf4ddb02683d,114,114,,0.0,100.2907959998538,6746.502698000086,6846.7934939999395,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,50,a8b0ea069b56363f8be7de33f7509a72ff56d8d6bfde5eca7366651e76b6f5cf,111,111,,0.0,96.57423899989226,5994.525823000004,6091.100061999896,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,51,d8406ad34cbf13190ab9be48db4b1516687fab3f1a0a4f7dd4c3adf5d071c0ff,110,110,,0.0,96.60836899979586,9282.36717599998,9378.975544999776,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,52,f03c8f4565ee8fbda1c0d21bc977baf8e7784eadbaaa1cd0380755916e22e627,79,79,,0.0,95.80940999990162,9766.676325999924,9862.485735999826,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,53,916ffd2c6b8c9782f95e45b34693af5b9b03999811f4bba9c3bebcb13700673a,118,118,,0.0,96.42447099986384,5720.834234999984,5817.258705999848,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,54,a103aa935e5ce62d13cb830ac2c934dbca23f37dbe6f0dbb102ef1eb672179a4,119,119,,0.0,95.66361999986839,11525.757228999964,11621.420848999833,2.49196195602417,2.890625,False,eos_or_stop
gsm8k,baseline_ar,55,8a1f48be89f185b3b61c97c462e0798d7ffac248bcf962e112450212f89ff9e3,85,85,,0.0,95.80475600000682,3564.182877999883,3659.98763399989,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,56,4fef1fe20c5f80a2f86b232360565add3889e73f8d8a4ecff7a4e07262527c54,89,89,,0.0,94.56683100006558,5494.83172500004,5589.398556000106,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,57,c2687bd2f88301609f19d584b45429651322e2b5080c4e37b2cb573c66ce47d7,102,102,,0.0,96.53408099984517,8899.312104999808,8995.846185999653,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,58,a917558a9b8eee645c137cb461aeea9c439cd7f13786ccdda7de5a340d642e7f,108,108,,0.0,95.61358799987829,5463.860219000026,5559.473806999904,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,59,8d37daac29545b28bac10fc03c1f27176d44997ac9bfb542eb36c98a83e635b4,104,104,,0.0,95.02687700000934,10326.090545999932,10421.117422999941,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,60,d5c1de720698444a748ac3a06dcdda0f94fd6784c93281d97f9cfff5baba7e38,117,117,,0.0,96.64686100018116,8222.177797000086,8318.824658000267,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,61,72a09c69fa1add4d1e03c63e71b2916790519a23e2017c2d6a134daaeb160300,89,89,,0.0,94.42644099999598,4600.476447999881,4694.902888999877,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,62,49bc79b40f64fd97498faee18eb585f2244e554d7fbb02aa5ddf032cd72a772f,78,78,,0.0,90.97617700012961,4369.706618000009,4460.682795000139,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,63,f6e9c09a70264579bed5d9ad1ec34a4df83a0d02f77272e6188e48f441c7e9d1,84,84,,0.0,93.31700400002774,9754.830128999856,9848.147132999884,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,64,d8922ea186bb76305a458dd60b19ff232cefe8df7cff9bb24c10f98def5eaa4f,114,114,,0.0,99.42749099991488,6868.418093999935,6967.84558499985,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,65,0cd21d2dfd1bc0123ac6a5458c7f9aa035156304a68390a493bab885e79acd30,92,92,,0.0,94.23775200002638,6878.691679000212,6972.929431000239,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,66,8e69408e3add7c9d5ec48f09aca0574150da9d3aa81094a4db0a3f5a07f4232e,86,86,,0.0,94.55065400015883,4909.273338000048,5003.823992000207,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,67,a9e99482669ffd87aedd86e93c489c7744ef77cfde1197ecb7f89445445d9f55,123,123,,0.0,96.93211700005122,9459.213918999922,9556.146035999973,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,68,361bb1b78d4771e432ae6813da2ccce661a9580e4e20e34c18b270327cd756b3,119,119,,0.0,95.31504799997492,7220.232997000039,7315.548045000014,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,69,569ca681867943ad6c6a89e30098f495718e960dbb34327fb8d0f58913c37685,122,122,,0.0,115.28582699997969,12845.021879999877,12960.307706999856,2.49196195602417,2.890625,True,length_cap
gsm8k,baseline_ar,70,dea5889dd9c4e9ef3c39a5263a38b8396c5022f5934aafb07459096391eec473,84,84,,0.0,93.73271899994506,4967.555446999995,5061.28816599994,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,71,720df47857c48ee45142aa28ee9dda1a52db378eb6d916ad76d9bf2ddac59a33,90,90,,0.0,95.48213099992608,11245.036561000006,11340.518691999932,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,72,792e2ebcc85b8fad6bee2cc4f30705956bae30944c3b0b5a160d848f58afbf3f,133,133,,0.0,141.730336999899,6650.025526999798,6791.755863999697,2.491962432861328,2.890625,False,eos_or_stop
gsm8k,baseline_ar,73,d74d1f4a7b2ada39e0ae318e86e682a7d703a7662f0fe00028e6155c6175e25e,108,108,,0.0,95.15449299988177,4054.8332650000702,4149.987757999952,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,74,5fec24e2ff47289d435b9984c3a7ee7f687f50157cd30c48fbd49a60b069254f,88,88,,0.0,95.44780300007005,6224.6000360000835,6320.0478390001535,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,75,1826469fc3a9a8c30f7128b36af782a862a07e23960004a7555cd849c8010ed6,100,100,,0.0,95.38608699995166,10432.649337000157,10528.035424000109,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,76,a09d46a7b048579932c6422319acde8cb495e1037fef87ea6dfc1fbeb88629a3,95,95,,0.0,93.80164999993212,4894.648374000099,4988.450024000031,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,77,805513ff608ccf4363e9d3d52e792d1494db01d5b918a4ce50c47a2a9ba5d93d,98,98,,0.0,92.44982899986098,8286.381914999993,8378.831743999854,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,78,2ea7f2e1484add0787e2330b33382a15173f192065c139016373409b3821ed67,79,79,,0.0,91.02853800004596,11359.492904000035,11450.521442000081,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,79,90172a4b79252cb86e2823e4103baf2d59e608a6f229a01d29c5b9c5beb4f9b6,134,134,,0.0,153.11016600003313,8958.439365999993,9111.549532000026,2.491962432861328,2.890625,False,eos_or_stop
gsm8k,baseline_ar,80,f359227f555ce1f634d19a5f9b1cf1d3504281e2dd4ba5d9cf0d1710a2981371,152,152,,0.0,140.26040599992484,13655.439229000194,13795.699635000119,2.4919633865356445,2.890625,True,length_cap
gsm8k,baseline_ar,81,28242144309d208c3a52f3312d659c5124d3286937724977705d5b04a30e46b3,101,101,,0.0,95.30449399994723,7208.574426000041,7303.878919999988,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,82,a5b19787b983f0c2106bbc50b081fe70fc059671a163186c32638b0dd435c47f,111,111,,0.0,95.34697200001574,6513.410540999985,6608.7575130000005,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,83,77571c7e1dad15637599fd4c8e6e36d4c37db44c54cc4d726ff4a91d85e4fce7,106,106,,0.0,92.40867500011518,10627.905771000087,10720.314446000202,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,84,39a6e5d5cd6458a729bd48eb9cad05cbe8f658f7c849cd06a05789fa5e7a7c65,103,103,,0.0,96.340353999949,4328.288625000141,4424.62897900009,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,85,09ea005ce7db711e3087b2296a68a52cf628e94b6d8c80669b1fd405748733dc,105,105,,0.0,94.60926900010236,6407.324552000091,6501.933821000193,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,86,9be9b4a08df62fcfc0bea6e844a2818b9479f4e609499504262fbf048a32b66f,105,105,,0.0,93.5193979998985,11535.939426999903,11629.458824999801,2.49196195602417,2.890625,False,eos_or_stop
gsm8k,baseline_ar,87,2640d12b0738aecf92913c99452bcb7a1408a1f5f3abad3d8ec9fd5547e0e411,91,91,,0.0,94.02484699990055,11788.951420000103,11882.976267000004,2.49196195602417,2.890625,False,eos_or_stop
gsm8k,baseline_ar,88,8b663e94176fc83cba57405207e278d32bb303ff3b4b98e95e07ebb52f3410e4,126,126,,0.0,97.27357299993855,9463.947159999861,9561.2207329998,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,89,ffa0dd1ed0d9707cb70efea3497844bba02e7c79c3e28e7239b8fa6f6b2da2c6,204,204,,0.0,132.55686799993782,12858.348686999989,12990.905554999927,2.491964817047119,2.890625,True,length_cap
gsm8k,baseline_ar,90,f69007de0a81a6d0fe83627d600fd32387729825f4c383c2c436f21c334069e8,98,98,,0.0,94.81467099999463,5832.849679999981,5927.664350999976,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,91,3bb5f83cedab5fcb162f87da174d6fd14d9cc33e5d1a152c3ed977d45202f50d,91,91,,0.0,93.17524500011132,13105.915920000143,13199.091165000254,2.49196195602417,2.890625,True,length_cap
gsm8k,baseline_ar,92,a4ab94aa0a5440f2035df3813a86f1e55a0e75e55b2386c3b06089856defbe19,90,90,,0.0,95.59541399994487,5081.156727999996,5176.752141999941,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,93,909c759ad17b9b854868be0f2577e1c79aabaa6185c604d3dd678a13649e4fd8,89,89,,0.0,94.42901000011261,5948.8784479999595,6043.307458000072,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,94,e2a77573c3c99a06c6caa011d06ab1a5bb7b34aa0e53c23f561874dfcb927cc6,97,97,,0.0,99.18519600000764,5503.6064810001335,5602.791677000141,2.4919610023498535,2.890625,False,eos_or_stop
